,Symbol,Name,Current Price,Current IV,SMA200,SMA50,Price Percentile 13W,Price Percentile 52W,Price Rank 13W,Price Rank 52W,Price Change 13W,Price Change 52W,IV Percentile 13W,IV Percentile 52W,IV Rank 13W,IV Rank 52W,Market Cap
0,AAP,Advance Auto Parts Inc.,$57.79,46.00,$44.78,$55.68,68.00%,92.00%,51.53,70.30,17.00%,18.00%,24.00%,12.00%,12.76,14.20,"$3,466.53M"
1,ACLS,Axcelis Technologies Inc. Common Stock,$81.29,46.00,$66.16,$73.74,94.00%,76.00%,85.91,55.75,36.00%,-26.00%,6.00%,3.00%,9.33,4.23,"$2,554.04M"
2,ACLX,Arcellx Inc. Common Stock,$71.28,46.00,$70.31,$68.70,79.00%,56.00%,74.68,39.35,15.00%,-1.00%,19.00%,18.00%,30.17,8.18,"$3,953.11M"
3,AFRM,Affirm Holdings Inc. Class A Common Stock,$79.49,76.00,$59.94,$69.08,98.00%,99.00%,96.99,94.16,55.00%,149.00%,77.00%,58.00%,54.96,27.78,"$25,643.47M"
4,AGX,Argan Inc. Common Stock,$222.16,75.00,$169.27,$219.45,63.00%,91.00%,47.26,82.81,6.00%,189.00%,82.00%,85.00%,74.88,75.36,"$3,030.44M"
5,AKRO,Akero Therapeutics Inc. Common Stock,$49.23,58.00,$42.49,$51.40,24.00%,73.00%,34.57,75.26,7.00%,80.00%,3.00%,27.00%,14.34,8.00,"$3,937.86M"
6,ALAB,Astera Labs Inc. Common Stock,$179.09,66.00,$100.01,$123.84,87.00%,97.00%,82.23,87.47,84.00%,316.00%,29.00%,14.00%,39.81,27.87,"$29,768.19M"
7,ALB,Albemarle Corporation Common Stock,$81.34,48.00,$77.08,$71.17,87.00%,53.00%,81.90,49.49,38.00%,-9.00%,0.00%,11.00%,12.52,9.15,"$9,572.33M"
8,ALK,Alaska Air Group Inc. Common Stock,$59.50,42.00,$56.31,$52.20,98.00%,76.00%,99.79,56.80,13.00%,69.00%,26.00%,51.00%,27.32,18.14,"$6,860.97M"
9,AMBA,Ambarella Inc. Ordinary Shares,$71.94,80.00,$63.15,$64.78,98.00%,80.00%,99.72,71.46,15.00%,41.00%,98.00%,99.00%,95.06,82.56,"$3,051.27M"
10,AMD,Advanced Micro Devices Inc. Common Stock,$167.76,41.00,$124.82,$154.88,74.00%,92.00%,75.79,82.85,46.00%,12.00%,24.00%,27.00%,14.46,13.10,"$272,248.26M"
11,AMSC,American Superconductor Corporation Common Stock,$50.68,61.00,$29.90,$43.04,77.00%,94.00%,76.80,82.59,85.00%,141.00%,0.00%,0.00%,6.60,3.71,"$2,288.76M"
12,ANET,Arista Networks Inc. Common Stock,$133.25,40.00,$100.96,$113.76,84.00%,96.00%,84.97,89.41,44.00%,55.00%,29.00%,35.00%,21.83,22.65,"$167,477.31M"
13,CIEN,Ciena Corporation Common Stock,$89.81,55.00,$77.65,$84.85,74.00%,91.00%,69.44,77.73,9.00%,58.00%,84.00%,81.00%,74.56,47.50,"$12,696.19M"
14,CLS,Celestica Inc. Common Stock,$188.92,56.00,$116.58,$169.67,74.00%,94.00%,72.40,83.23,59.00%,270.00%,15.00%,28.00%,9.60,18.39,"$21,731.98M"
15,COHR,Coherent Corp. Common Stock,$89.90,46.00,$86.29,$94.98,48.00%,53.00%,32.75,57.06,11.00%,13.00%,6.00%,6.00%,5.63,8.72,"$14,006.91M"
16,COIN,Coinbase Global Inc. Class A Common Stock,$319.85,49.00,$270.65,$342.66,48.00%,84.00%,40.39,58.69,20.00%,57.00%,10.00%,3.00%,44.83,28.49,"$82,181.67M"
17,COOP,Mr. Cooper Group Inc. Common Stock,$198.98,56.00,$122.29,$162.99,97.00%,99.00%,94.38,96.28,49.00%,116.00%,81.00%,90.00%,38.70,58.21,"$12,733.38M"
18,CRCL,Circle Internet Group Inc. Class A Common Stock,$135.04,71.00,$47.88,$180.93,15.00%,15.00%,30.23,30.23,62.00%,62.00%,9.00%,9.00%,4.05,4.05,"$30,981.95M"
19,CRDO,Credo Technology Group Holding Ltd Ordinary Shares,$114.04,93.00,$68.33,$101.03,81.00%,95.00%,79.06,86.10,79.00%,224.00%,79.00%,70.00%,66.21,30.73,"$19,574.03M"
20,CRSP,CRISPR Therapeutics AG Common Shares,$54.32,55.00,$45.08,$54.46,52.00%,87.00%,52.98,59.09,45.00%,10.00%,11.00%,24.00%,15.67,25.73,"$4,940.43M"
21,CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$420.55,50.00,$406.25,$466.61,5.00%,65.00%,10.34,64.66,-11.00%,58.00%,73.00%,65.00%,72.64,35.00,"$104,821.32M"
22,CRWV,CoreWeave Inc. Class A Common Stock,$93.99,71.00,$52.36,$132.93,5.00%,39.00%,8.58,39.40,-24.00%,135.00%,6.00%,5.00%,31.39,28.47,"$45,920.92M"
23,CVNA,Carvana Co. Class A Common Stock,$357.81,49.00,$265.80,$339.14,92.00%,98.00%,57.18,80.78,14.00%,126.00%,26.00%,19.00%,14.41,8.73,"$77,001.94M"
24,DAL,Delta Air Lines Inc. Common Stock,$61.69,42.00,$55.00,$53.62,98.00%,78.00%,98.44,76.48,25.00%,51.00%,60.00%,55.00%,47.92,19.34,"$40,280.39M"
25,DAVE,Dave Inc. Class A Common Stock,$199.00,60.00,$134.48,$218.56,18.00%,80.00%,20.63,65.67,-5.00%,399.00%,0.00%,1.00%,14.39,1.92,"$2,712.30M"
26,DELL,Dell Technologies Inc. Class C Common Stock ,$130.84,50.00,$113.57,$127.39,74.00%,87.00%,68.46,79.34,15.00%,17.00%,66.00%,56.00%,73.50,29.67,"$88,820.67M"
27,DG,Dollar General Corporation Common Stock,$112.40,43.00,$90.15,$112.13,47.00%,86.00%,74.55,77.93,11.00%,-10.00%,65.00%,63.00%,77.98,17.48,"$24,735.94M"
28,DIOD,Diodes Incorporated Common Stock,$56.24,40.00,$52.28,$52.85,89.00%,53.00%,82.33,58.52,21.00%,-19.00%,5.00%,4.00%,24.57,16.98,"$2,611.94M"
29,DKS,Dick's Sporting Goods Inc Common Stock,$227.63,44.00,$207.50,$206.81,98.00%,85.00%,97.10,69.43,31.00%,-3.00%,90.00%,65.00%,73.58,31.79,"$18,221.12M"
