,symbol,current_price,current_iv,sma_200,sma_50,price_percentile_13,price_percentile_52,price_rank_13,price_rank_52,price_change_13,price_change_52,iv_percentile_13,iv_percentile_52,iv_rank_13,iv_rank_52,last_financial_data
0,ACLS,78.51,47.0,66.19,73.47,83.87,72.29,76.49,50.83,34.62,-31.26,12.9,8.03,14.35,8.23,
1,ACLX,71.77,46.0,70.39,68.6,87.1,60.24,78.13,40.18,12.28,3.44,16.13,16.06,29.18,8.0,
2,AFRM,74.49,79.0,59.76,68.76,83.87,92.37,83.05,84.69,51.1,136.78,85.48,62.25,59.45,28.95,
3,AKRO,48.29,55.00000000000001,42.41,51.47,16.13,69.88,26.99,72.72,4.16,75.86,0.0,21.69,11.42,7.68,
4,ALAB,177.53,72.0,99.48,122.15,87.1,96.79,80.87,86.51,87.62,325.02,59.68,39.36,46.9,32.83,
5,ALNT,44.14,51.0,28.55,39.1,93.55,98.39,78.12,86.97,47.72,111.3,58.06,70.68,11.77,8.54,
6,AMBA,66.02,78.0,63.08,64.42,51.61,63.05,72.53,58.67,6.3,32.38,98.39,98.8,100.0,78.99,
7,AMD,163.71,43.0,124.69,153.95,69.35,87.95,70.96,79.18,48.41,5.63,46.77,39.76,21.87,16.35,
8,AMSC,48.59,64.0,29.79,42.62,75.81,93.98,71.45,77.89,92.21,128.34,27.42,8.84,13.54,8.65,
9,APP,418.76,59.0,338.51,375.46,85.48,94.38,64.26,75.96,18.2,364.26,29.03,19.68,42.3,7.5,
10,ASO,51.6,50.0,48.52,50.16,67.74,54.62,68.24,58.38,26.94,-5.3,74.19,63.86,40.4,31.44,
11,ASTS,44.98,77.0,30.82,48.81,33.87,83.53,58.5,63.25,86.68,36.88,6.45,2.81,26.0,14.38,
12,AVAV,235.07,64.0,184.1,245.61,37.1,83.94,54.56,68.59,39.04,26.64,88.71,90.76,85.53,72.9,
13,AVGO,289.6,50.0,223.27,281.61,69.35,92.37,69.58,84.79,26.62,74.08,90.32,74.7,81.35,34.46,
14,BBIO,50.23,43.0,35.47,45.6,93.55,98.39,91.89,94.59,50.66,98.46,24.19,7.63,17.41,15.11,
15,BBSI,46.27,51.0,42.25,44.03,80.65,95.18,72.31,84.27,12.61,29.35,30.65,44.18,37.13,20.85,
16,BELFB,128.91,42.0,85.56,109.92,79.03,94.78,88.68,90.26,77.86,94.49,61.29,50.2,58.47,31.46,
17,TREE,63.15,47.0,43.59,44.84,95.16,98.8,92.89,92.89,79.61,10.19,16.13,4.02,13.53,12.26,
18,TRUP,47.73,47.0,46.11,50.91,12.9,50.6,33.07,62.19,7.16,2.36,33.87,12.05,20.5,12.05,
19,TTAN,103.88,46.0,90.9,108.76,17.74,47.67,23.75,46.73,-15.28,2.85,56.45,26.79,22.4,22.4,
20,TTMI,40.78,50.0,29.04,42.54,43.55,85.94,54.97,70.69,42.64,99.02,59.68,70.68,37.15,30.59,
21,UAL,97.19,46.0,87.15,86.86,87.1,79.12,80.12,74.93,30.19,124.35,41.94,42.17,33.11,12.67,
22,ULTA,520.18,40.0,416.63,492.09,93.55,98.39,89.39,93.81,27.8,37.38,90.32,65.46,77.57,43.32,
23,UPST,63.52,64.0,62.02,70.23,41.94,60.24,45.98,49.39,40.34,51.24,9.68,3.21,22.37,21.41,
24,URBN,73.89,60.0,58.38,73.45,61.29,90.36,55.86,85.44,2.23,91.47,93.55,92.77,87.39,53.33,
25,WGS,120.72,59.0,84.01,92.18,91.94,97.99,89.65,93.08,68.6,237.58,16.13,5.22,8.95,11.01,
26,WING,318.77,43.0,295.78,335.35,11.29,47.39,34.89,49.93,-1.15,-21.08,59.68,52.61,29.45,24.4,
27,WLDN,106.27,51.0,50.79,80.52,87.1,96.79,79.25,83.74,106.55,170.68,59.68,55.82,50.05,35.63,
28,XMTR,46.57,60.0,32.33,36.27,90.32,97.59,89.32,93.75,39.06,130.77,12.9,4.42,11.99,12.1,
29,ZS,270.35,54.0,230.96,292.58,8.06,77.11,31.12,70.84,6.4,35.56,83.87,77.11,92.23,49.1,
